address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Hiort Lorenzens Gade 4, 2. TV2200 København N",vn N,1.648.000,03-12-2013,Alm. Salg,21.684,3,Lejlighed,76,1905,,Aktuel værdi
"Bjelkes Allé 34, 4. 562200 København N",vn N,1.865.000,03-12-2013,Alm. Salg,20.955,3,Lejlighed,89,1969,,Aktuel værdi
"Wesselsgade 13, ST. TV2200 København N",vn N,2.128.000,02-12-2013,Alm. Salg,15.309,5,Lejlighed,139,1875,,Aktuel værdi
"Jagtvej 27, ST. TV2200 København N",vn N,1.402.500,02-12-2013,Fam. Salg,15.080,3,Lejlighed,93,1899,,Aktuel værdi
"Schleppegrellsgade 5, ST. TV2200 København N",vn N,3.200.000,01-12-2013,Alm. Salg,36.363,4,Lejlighed,88,1892,,Aktuel værdi
"Fenrisgade 1, 5. TH2200 København N",vn N,1.460.000,29-11-2013,Alm. Salg,25.172,2,Lejlighed,58,1934,-2 %,Aktuel værdi
"Hamletsgade 8, 3. 1112200 København N",vn N,800.000,29-11-2013,Alm. Salg,18.181,1,Lejlighed,44,1975,,Aktuel værdi
"Bjelkes Allé 11B, 2. TV2200 København N",vn N,1.250.000,29-11-2013,Alm. Salg,29.069,2,Lejlighed,43,1884,-3 %,Aktuel værdi
"Bjelkes Allé 4, 2. 32200 København N",vn N,1.100.000,28-11-2013,Fam. Salg,18.032,2,Lejlighed,61,1970,,Aktuel værdi
"Kapelvej 57, 22200 København N",vn N,2.580.000,25-11-2013,Alm. Salg,24.807,2,Lejlighed,104,1903,-2 %,Aktuel værdi
"Hamletsgade 8, 1. 772200 København N",vn N,945.000,25-11-2013,Alm. Salg,15.491,1,Lejlighed,61,1975,0 %,Aktuel værdi
"Ægirsgade 37, 3. TV2200 København N",vn N,1.520.000,25-11-2013,Alm. Salg,30.400,2,Lejlighed,50,1902,,Aktuel værdi
"Nørrebrogade 183, 2. TH2200 København N",vn N,3.900.000,25-11-2013,Alm. Salg,22.413,5,Lejlighed,174,1904,-7 %,Aktuel værdi
"Sigynsgade 36, 1. TV2200 København N",vn N,1.598.000,24-11-2013,Alm. Salg,22.507,2,Lejlighed,71,1991,0 %,Aktuel værdi
"P.D. Løvs Allé 9, 4. TH2200 København N",vn N,2.350.000,22-11-2013,Alm. Salg,30.519,3,Lejlighed,77,1906,-2 %,Aktuel værdi
"Baldersgade 75, 2. TV2200 København N",vn N,2.230.000,22-11-2013,Alm. Salg,30.135,3,Lejlighed,74,1901,2 %,Aktuel værdi
"Læssøesgade 25, 3. TH2200 København N",vn N,3.055.000,20-11-2013,Alm. Salg,24.837,4,Lejlighed,123,1868,2 %,Aktuel værdi
"Bjelkes Allé 12, 1. 42200 København N",vn N,1.350.000,20-11-2013,Alm. Salg,25.000,2,Lejlighed,54,1962,,Aktuel værdi
"Poppelgade 11, 4. TH2200 København N",vn N,1.675.000,20-11-2013,Alm. Salg,32.211,2,Lejlighed,52,1889,0 %,Aktuel værdi
"Hillerødgade 19, 2. TH2200 København N",vn N,1.249.000,19-11-2013,Alm. Salg,23.566,2,Lejlighed,53,1935,0 %,Aktuel værdi
"Fyensgade 7, 4. TH2200 København N",vn N,1.248.000,19-11-2013,Andet,19.809,3,Lejlighed,63,1899,,Aktuel værdi
"Baldersgade 18, ST. 12200 København N",vn N,1.305.000,18-11-2013,Alm. Salg,23.303,2,Lejlighed,56,1935,,Aktuel værdi
"Husumgade 31, 1. 22200 København N",vn N,1.195.000,18-11-2013,Alm. Salg,21.727,1,Lejlighed,55,1969,0 %,Aktuel værdi
"Nørrebrogade 219, 2. TH2200 København N",vn N,1.000.000,18-11-2013,Alm. Salg,18.867,2,Lejlighed,53,1901,,Aktuel værdi
"Mimersgade 56, 1. TV2200 København N",vn N,2.195.000,17-11-2013,Alm. Salg,26.768,4,Lejlighed,82,1906,0 %,Aktuel værdi
"Læssøesgade 19, 1. TH2200 København N",vn N,1.190.000,17-11-2013,Fam. Salg,21.250,2,Lejlighed,56,1868,,Aktuel værdi
"Julius Bloms Gade 2, 1. TH2200 København N",vn N,2.720.000,14-11-2013,Alm. Salg,31.264,2,Lejlighed,87,1906,1 %,Aktuel værdi
"Hamletsgade 19, 3. TH2200 København N",vn N,1.350.000,14-11-2013,Alm. Salg,24.107,2,Lejlighed,56,1947,-3 %,Aktuel værdi
"Heimdalsgade 14, 52200 København N",vn N,4.050.000,13-11-2013,Alm. Salg,31.153,4,Lejlighed,130,1939,-1 %,Aktuel værdi
"Ahornsgade 21, 2. TH2200 København N",vn N,1.695.000,12-11-2013,Alm. Salg,35.312,2,Lejlighed,48,1889,0 %,Aktuel værdi
"Bregnerødgade 19, 1. TH2200 København N",vn N,1.900.000,11-11-2013,Alm. Salg,28.358,3,Lejlighed,67,1930,0 %,Aktuel værdi
"Dagmarsgade 3, 3. TH2200 København N",vn N,2.475.000,11-11-2013,Alm. Salg,30.937,3,Lejlighed,80,1904,-3 %,Aktuel værdi
"Rådmandsgade 42B, 1. TH2200 København N",vn N,1.095.765,08-11-2013,Fam. Salg,19.923,2,Lejlighed,55,1933,,Aktuel værdi
"Nørrebrogade 217, 2. TH2200 København N",vn N,1.775.000,08-11-2013,Alm. Salg,28.174,3,Lejlighed,63,1901,2 %,Aktuel værdi
"Kapelvej 46, ST. TV2200 København N",vn N,1.945.000,06-11-2013,Alm. Salg,24.312,2,Lejlighed,80,1918,0 %,Aktuel værdi
"Mimersgade 56, 2. TH2200 København N",vn N,1.099.000,06-11-2013,Alm. Salg,20.351,2,Lejlighed,54,1906,0 %,Aktuel værdi
"Dagmarsgade 38, 4. TH2200 København N",vn N,1.435.000,06-11-2013,Alm. Salg,21.742,2,Lejlighed,66,1903,-4 %,Aktuel værdi
"Blegdamsvej 8, 4. TV2200 København N",vn N,2.900.000,05-11-2013,Alm. Salg,29.591,4,Lejlighed,98,1868,-3 %,Aktuel værdi
"Heimdalsgade 34, 2. TH2200 København N",vn N,2.250.000,03-11-2013,Alm. Salg,26.162,3,Lejlighed,86,1913,-1 %,Aktuel værdi
"Kapelvej 1, 5. TH2200 København N",vn N,2.500.000,01-11-2013,Alm. Salg,32.467,3,Lejlighed,77,1891,9 %,Aktuel værdi
"Nørrebrogade 9F, 1. TH2200 København N",vn N,1.950.000,01-11-2013,Alm. Salg,18.571,3,Lejlighed,105,1863,,Aktuel værdi
"Rantzausgade 7, 1. TH2200 København N",vn N,2.625.000,31-10-2013,Alm. Salg,25.735,4,Lejlighed,102,1890,-3 %,Aktuel værdi
"Jagtvej 1, 4. TV2200 København N",vn N,2.360.000,28-10-2013,Alm. Salg,22.692,4,Lejlighed,104,1906,-1 %,Aktuel værdi
"Husumgade 10A, 22200 København N",vn N,1.230.000,25-10-2013,Alm. Salg,26.739,2,Lejlighed,46,1904,-5 %,Aktuel værdi
"Nørrebrogade 9F, 1. TV2200 København N",vn N,2.900.000,24-10-2013,Alm. Salg,18.589,5,Lejlighed,156,1863,,Aktuel værdi
"Mimersgade 56, ST. TH2200 København N",vn N,1.525.000,23-10-2013,Alm. Salg,21.785,3,Lejlighed,70,1906,13 %,Aktuel værdi
"Nannasgade 27, 2. 12200 København N",vn N,775.000,22-10-2013,Alm. Salg,18.023,1,Lejlighed,43,1947,-9 %,Aktuel værdi
"Poppelgade 14, 5. TV2200 København N",vn N,1.750.000,22-10-2013,Alm. Salg,33.018,2,Lejlighed,53,1889,0 %,Aktuel værdi
"Krogerupgade 59, 4. TH2200 København N",vn N,1.450.000,21-10-2013,Alm. Salg,27.884,2,Lejlighed,52,1935,-3 %,Aktuel værdi
"Tagensvej 56, 1. TV2200 København N",vn N,1.750.000,18-10-2013,Alm. Salg,25.735,3,Lejlighed,68,1933,0 %,Aktuel værdi
"Guldbergsgade 47, 1. TH2200 København N",vn N,1.275.000,17-10-2013,Fam. Salg,17.465,3,Lejlighed,73,1881,,Aktuel værdi
"Bjelkes Allé 4, 2. 62200 København N",vn N,550.000,16-10-2013,Alm. Salg,11.224,1,Lejlighed,49,1970,-19 %,Aktuel værdi
"Krogerupgade 57, 4. TH2200 København N",vn N,725.000,15-10-2013,Alm. Salg,13.942,2,Lejlighed,52,1935,-34 %,Aktuel værdi
"Elmegade 23, 1. TV2200 København N",vn N,2.625.000,15-10-2013,Alm. Salg,38.043,3,Lejlighed,69,1884,-3 %,Aktuel værdi
"Sankt Hans Gade 7, 2. TV2200 København N",vn N,4.250.000,11-10-2013,Alm. Salg,33.203,3,Lejlighed,128,1862,,Aktuel værdi
"Læssøesgade 21, 3. TV2200 København N",vn N,1.795.000,10-10-2013,Alm. Salg,33.240,2,Lejlighed,54,1868,0 %,Aktuel værdi
"Poppelgade 14, 3. TH2200 København N",vn N,1.610.000,10-10-2013,Alm. Salg,31.568,2,Lejlighed,51,1889,-2 %,Aktuel værdi
"Sortedam Dossering 41D, 3. MF2200 København N",vn N,1.200.000,10-10-2013,Alm. Salg,28.571,1,Lejlighed,42,1963,-4 %,Aktuel værdi
"Holtegade 4, 4. TH2200 København N",vn N,3.275.000,09-10-2013,Alm. Salg,30.607,4,Lejlighed,107,2005,-9 %,Aktuel værdi
"Julius Bloms Gade 8, 3. TV2200 København N",vn N,2.700.000,08-10-2013,Alm. Salg,32.142,3,Lejlighed,84,1908,4 %,Aktuel værdi
"Asminderødgade 10, 52200 København N",vn N,3.439.000,08-10-2013,Alm. Salg,28.658,4,Lejlighed,120,1906,-2 %,Aktuel værdi
"Dagmarsgade 17, 3. 4022200 København N",vn N,1.210.000,08-10-2013,Alm. Salg,19.516,2,Lejlighed,62,1974,-1 %,Aktuel værdi
"Vølundsgade 22, 2. TV2200 København N",vn N,1.474.000,07-10-2013,Alm. Salg,25.413,2,Lejlighed,58,1907,-2 %,Aktuel værdi
"Rantzausgade 50A, 1. TV2200 København N",vn N,1.200.000,07-10-2013,Alm. Salg,27.272,2,Lejlighed,44,1889,-4 %,Aktuel værdi
"Åboulevard 34D, ST. TV2200 København N",vn N,1.075.000,07-10-2013,Alm. Salg,25.595,2,Lejlighed,42,1885,-2 %,Aktuel værdi
"Julius Bloms Gade 5, 1. TH2200 København N",vn N,1.860.000,07-10-2013,Alm. Salg,26.956,2,Lejlighed,69,1905,1 %,Aktuel værdi
"Vølundsgade 22, 2. TH2200 København N",vn N,1.510.000,06-10-2013,Alm. Salg,25.166,2,Lejlighed,60,1907,-2 %,Aktuel værdi
"Åboulevard 34B, 3. TV2200 København N",vn N,1.200.000,04-10-2013,Alm. Salg,28.571,2,Lejlighed,42,1885,-7 %,Aktuel værdi
"Nordre Fasanvej 246, 1. TH2200 København N",vn N,1.625.000,04-10-2013,Alm. Salg,22.887,3,Lejlighed,71,1897,-4 %,Aktuel værdi
"Hamletsgade 8, 2. 972200 København N",vn N,1.045.000,03-10-2013,Alm. Salg,17.131,2,Lejlighed,61,1975,-7 %,Aktuel værdi
"Frejasgade 15, 2. TV2200 København N",vn N,1.550.000,02-10-2013,Alm. Salg,26.724,2,Lejlighed,58,1906,4 %,Aktuel værdi
"Julius Bloms Gade 4, 2. TV2200 København N",vn N,3.340.000,02-10-2013,Alm. Salg,25.112,5,Lejlighed,133,1908,-2 %,Aktuel værdi
"Sigynsgade 44, 1. TV2200 København N",vn N,1.925.000,01-10-2013,Alm. Salg,23.765,3,Lejlighed,81,1991,-4 %,Aktuel værdi
"Heimdalsgade 20, 2. TH2200 København N",vn N,1.445.000,01-10-2013,Alm. Salg,25.350,2,Lejlighed,57,1938,0 %,Aktuel værdi
"Sortedam Dossering 41B, 5. TV2200 København N",vn N,2.700.000,28-09-2013,Fam. Salg,32.530,3,Lejlighed,83,1963,,Aktuel værdi
"Nørrebrogade 61, 22200 København N",vn N,4.670.000,27-09-2013,Alm. Salg,27.309,5,Lejlighed,171,1891,2 %,Aktuel værdi
"Bjelkes Allé 11B, 4. TV2200 København N",vn N,1.275.000,26-09-2013,Alm. Salg,29.651,2,Lejlighed,43,1884,-9 %,Aktuel værdi
"Poppelgade 11, 1. TV2200 København N",vn N,2.600.000,26-09-2013,Alm. Salg,30.952,3,Lejlighed,84,1889,0 %,Aktuel værdi
"Møllegade 22, 3. TH2200 København N",vn N,1.297.409,25-09-2013,Alm. Salg,23.168,2,Lejlighed,56,1889,,Aktuel værdi
"Baldersgade 18, 2. 22200 København N",vn N,1.250.000,24-09-2013,Alm. Salg,24.509,2,Lejlighed,51,1935,-4 %,Aktuel værdi
"Guldbergsgade 47, 2. TH2200 København N",vn N,2.100.000,24-09-2013,Alm. Salg,30.882,3,Lejlighed,68,1881,-7 %,Aktuel værdi
"Bjelkes Allé 4, 3. 82200 København N",vn N,1.260.000,24-09-2013,Alm. Salg,20.322,1,Lejlighed,62,1970,-3 %,Aktuel værdi
Rådmandsgade 352200 København N,vn N,2.200.000,24-09-2013,Alm. Salg,12.500,9,Villa,176,1900,,Aktuel værdi
"Slejpnersgade 6, ST. 22200 København N",vn N,980.000,23-09-2013,Alm. Salg,22.272,1,Lejlighed,44,1938,-2 %,Aktuel værdi
"Guldbergsgade 5, 4. 12200 København N",vn N,3.265.000,20-09-2013,Alm. Salg,39.337,3,Lejlighed,83,1893,-1 %,Aktuel værdi
"Søllerødgade 37, 4. TH2200 København N",vn N,1.200.000,19-09-2013,Fam. Salg,17.391,3,Lejlighed,69,1903,,Aktuel værdi
"Baldersgade 18, 4. 32200 København N",vn N,970.000,19-09-2013,Alm. Salg,18.653,1,Lejlighed,52,1935,-3 %,Aktuel værdi
"Bjelkes Allé 12, 4. 12200 København N",vn N,1.245.000,19-09-2013,Alm. Salg,21.842,1,Lejlighed,57,1962,-4 %,Aktuel værdi
"Fogedmarken 2, 2. TV2200 København N",vn N,977.500,18-09-2013,Fam. Salg,17.455,2,Lejlighed,56,1933,,Aktuel værdi
"Sortedam Dossering 41C, 4. TH2200 København N",vn N,1.860.000,18-09-2013,Alm. Salg,33.214,2,Lejlighed,56,1963,-2 %,Aktuel værdi
"Hamletsgade 8, 3. 1122200 København N",vn N,800.000,17-09-2013,Alm. Salg,18.181,1,Lejlighed,44,1975,0 %,Aktuel værdi
"Rådmandsgade 42A, 4. TV2200 København N",vn N,1.495.000,17-09-2013,Alm. Salg,27.181,2,Lejlighed,55,1933,-3 %,Aktuel værdi
"Rådmandsgade 42A, 1. TH2200 København N",vn N,1.450.000,16-09-2013,Alm. Salg,25.438,2,Lejlighed,57,1933,-3 %,Aktuel værdi
"Thyrasgade 4, 5. 6082200 København N",vn N,420.000,16-09-2013,Andet,9.130,1,Lejlighed,46,1974,,Aktuel værdi
"Baldersgade 76, 4. TH2200 København N",vn N,1.131.300,16-09-2013,Fam. Salg,15.712,3,Lejlighed,72,1902,,Aktuel værdi
"Poppelgade 7, 3. TV2200 København N",vn N,1.955.000,13-09-2013,Alm. Salg,38.333,2,Lejlighed,51,1889,,Aktuel værdi
"Birkegade 11, 3. TV2200 København N",vn N,3.186.000,10-09-2013,Alm. Salg,37.928,3,Lejlighed,84,1892,1 %,Aktuel værdi
"Baldersgade 50, 4. TH2200 København N",vn N,2.415.000,10-09-2013,Alm. Salg,29.451,3,Lejlighed,82,1902,-3 %,Aktuel værdi
"Sankt Hans Torv 3, 2. TH2200 København N",vn N,5.350.000,06-09-2013,Alm. Salg,29.722,6,Lejlighed,180,1884,-2 %,Aktuel værdi
"Vølundsgade 12, 3. TV2200 København N",vn N,1.485.000,06-09-2013,Alm. Salg,25.603,2,Lejlighed,58,1903,-1 %,Aktuel værdi
"Dagmarsgade 17, 4. 5092200 København N",vn N,526.500,05-09-2013,Alm. Salg,8.923,2,Lejlighed,59,1974,,Aktuel værdi
"Hillerødgade 21A, 2. TH2200 København N",vn N,1.370.000,03-09-2013,Alm. Salg,27.400,2,Lejlighed,50,1935,-2 %,Aktuel værdi
"Husumgade 31, 2. 62200 København N",vn N,1.345.000,03-09-2013,Alm. Salg,24.454,2,Lejlighed,55,1969,0 %,Aktuel værdi
"Ryesgade 6, ST. TH2200 København N",vn N,3.025.000,03-09-2013,Alm. Salg,28.271,4,Lejlighed,107,1892,-4 %,Aktuel værdi
"Vedbækgade 16, 1. TH2200 København N",vn N,1.130.000,02-09-2013,Alm. Salg,21.730,2,Lejlighed,52,1898,-5 %,Aktuel værdi
"Baldersgade 18, 2. 12200 København N",vn N,1.095.000,30-08-2013,Alm. Salg,19.553,1,Lejlighed,56,1935,0 %,Aktuel værdi
"Dagmarsgade 26, ST. 1392200 København N",vn N,764.381,30-08-2013,Andet,10.191,3,Lejlighed,75,1974,,Aktuel værdi
"Heimdalsgade 40, 5. TV2200 København N",vn N,1.160.000,29-08-2013,Alm. Salg,20.000,2,Lejlighed,58,1934,-10 %,Aktuel værdi
"Ahlmannsgade 3, ST2200 København N",vn N,2.125.000,29-08-2013,Alm. Salg,21.907,4,Lejlighed,97,1899,-3 %,Aktuel værdi
"Tagensvej 47, 3. 242200 København N",vn N,1.845.000,28-08-2013,Alm. Salg,25.273,3,Lejlighed,73,1966,0 %,Aktuel værdi
"Wesselsgade 13, 5. TV2200 København N",vn N,3.595.000,28-08-2013,Alm. Salg,29.467,4,Lejlighed,122,1875,0 %,Aktuel værdi
"Hamletsgade 8, 4. 1272200 København N",vn N,837.625,27-08-2013,Alm. Salg,19.479,1,Lejlighed,43,1975,2 %,Aktuel værdi
"Farumgade 7, 4. TH2200 København N",vn N,1.439.500,27-08-2013,Alm. Salg,27.682,2,Lejlighed,52,1915,-4 %,Aktuel værdi
"Hamletsgade 19, 2. TV2200 København N",vn N,1.299.000,26-08-2013,Alm. Salg,23.196,2,Lejlighed,56,1947,0 %,Aktuel værdi
"Poppelgade 10, ST. TV2200 København N",vn N,1.250.000,20-08-2013,Alm. Salg,23.584,2,Lejlighed,53,1889,0 %,Aktuel værdi
"Rådmandsgade 40D, 1. TH2200 København N",vn N,849.000,19-08-2013,Alm. Salg,19.744,1,Lejlighed,43,1967,0 %,Aktuel værdi
"Ole Jørgensens Gade 8, 2. TV2200 København N",vn N,1.299.000,18-08-2013,Alm. Salg,23.618,2,Lejlighed,55,1901,0 %,Aktuel værdi
"Nørrebrogade 205, 4. TV2200 København N",vn N,1.610.000,16-08-2013,Alm. Salg,24.769,3,Lejlighed,65,1892,-2 %,Aktuel værdi
"Ågade 98, ST. TH2200 København N",vn N,2.050.000,16-08-2013,Alm. Salg,22.527,2,Lejlighed,91,1899,-6 %,Aktuel værdi
"Rådmandsgade 47, 1. TH2200 København N",vn N,1.760.000,14-08-2013,Alm. Salg,27.076,3,Lejlighed,65,1933,-2 %,Aktuel værdi
"Baldersgade 39, 3. TH2200 København N",vn N,2.085.000,12-08-2013,Alm. Salg,23.166,4,Lejlighed,90,1906,6 %,Aktuel værdi
"Poppelgade 14, 1. TV2200 København N",vn N,1.475.000,12-08-2013,Alm. Salg,27.830,2,Lejlighed,53,1889,0 %,Aktuel værdi
"Tikøbgade 4, 2. TH2200 København N",vn N,1.895.000,11-08-2013,Alm. Salg,27.867,3,Lejlighed,68,1930,6 %,Aktuel værdi
"Husumgade 20, 3. TH2200 København N",vn N,1.598.000,10-08-2013,Alm. Salg,30.150,2,Lejlighed,53,1901,0 %,Aktuel værdi
"Solitudevej 4, 2. TH2200 København N",vn N,1.600.000,08-08-2013,Fam. Salg,19.512,3,Lejlighed,82,1892,,Aktuel værdi
"Frejasgade 7, 4. TV2200 København N",vn N,2.662.000,07-08-2013,Alm. Salg,34.128,3,Lejlighed,78,1901,-3 %,Aktuel værdi
"Baldersgade 50, 1. TH2200 København N",vn N,2.370.000,07-08-2013,Alm. Salg,28.902,3,Lejlighed,82,1902,-1 %,Aktuel værdi
"Lundtoftegade 93, ST. TH2200 København N",vn N,1.600.000,07-08-2013,Alm. Salg,21.052,3,Lejlighed,76,1930,-6 %,Aktuel værdi
"Jagtvej 141, 5. A2200 København N",vn N,1.140.000,06-08-2013,Alm. Salg,18.387,2,Lejlighed,62,1970,-5 %,Aktuel værdi
"Peter Fabers Gade 18, 4. TH2200 København N",vn N,1.856.000,05-08-2013,Alm. Salg,37.120,2,Lejlighed,50,1893,4 %,Aktuel værdi
"Lundtoftegade 93, 2. TH2200 København N",vn N,1.770.000,05-08-2013,Alm. Salg,23.289,3,Lejlighed,76,1930,-1 %,Aktuel værdi
"Søllerødgade 46, 3. TV2200 København N",vn N,1.125.000,02-08-2013,Alm. Salg,28.125,2,Lejlighed,40,1886,-2 %,Aktuel værdi
"Krogerupgade 51, 3. TV2200 København N",vn N,1.450.000,01-08-2013,Alm. Salg,27.884,2,Lejlighed,52,1935,,Aktuel værdi
"Baldersgade 18, ST. 32200 København N",vn N,1.225.000,01-08-2013,Alm. Salg,23.557,1,Lejlighed,52,1935,1 %,Aktuel værdi
"Ravnsborggade 18A, 4. TH2200 København N",vn N,3.345.000,01-08-2013,Alm. Salg,42.341,2,Lejlighed,79,1876,0 %,Aktuel værdi
"Læssøesgade 23, 2. TH2200 København N",vn N,1.700.000,26-07-2013,Alm. Salg,27.868,2,Lejlighed,61,1868,,Aktuel værdi
"Rådmandsgade 44, 4. TH2200 København N",vn N,1.198.000,25-07-2013,Alm. Salg,21.781,2,Lejlighed,55,1933,0 %,Aktuel værdi
"Ægirsgade 17, 1. TH2200 København N",vn N,1.275.000,24-07-2013,Alm. Salg,21.982,2,Lejlighed,58,1903,-9 %,Aktuel værdi
"Gormsgade 6, 6. 272200 København N",vn N,1.000.000,23-07-2013,Alm. Salg,22.727,1,Lejlighed,44,1965,1 %,Aktuel værdi
"Rådmandsgade 40C, 5. 1352200 København N",vn N,795.000,22-07-2013,Alm. Salg,16.562,1,Lejlighed,48,1967,0 %,Aktuel værdi
"Laurids Skaus Gade 7, 1. TV2200 København N",vn N,1.595.000,21-07-2013,Alm. Salg,30.094,2,Lejlighed,53,1905,,Aktuel værdi
"Hamletsgade 26, 2. TV2200 København N",vn N,1.095.000,18-07-2013,Alm. Salg,19.909,2,Lejlighed,55,1938,0 %,Aktuel værdi
"Husumgade 31, 3. 102200 København N",vn N,1.200.000,17-07-2013,Alm. Salg,21.818,1,Lejlighed,55,1969,-4 %,Aktuel værdi
"Husumgade 31, 1. 42200 København N",vn N,1.100.000,16-07-2013,Alm. Salg,18.965,1,Lejlighed,58,1969,-6 %,Aktuel værdi
"Hamletsgade 21, 3. MF2200 København N",vn N,1.250.000,16-07-2013,Alm. Salg,24.038,2,Lejlighed,52,1947,-1 %,Aktuel værdi
"Nørrebrogade 217, 4. TV2200 København N",vn N,1.650.000,15-07-2013,Alm. Salg,26.612,3,Lejlighed,62,1901,0 %,Aktuel værdi
"Peter Fabers Gade 38, ST. TV2200 København N",vn N,1.250.000,14-07-2013,Alm. Salg,27.173,2,Lejlighed,46,1883,0 %,Aktuel værdi
"Fogedmarken 2, 2. TH2200 København N",vn N,1.350.000,12-07-2013,Alm. Salg,25.000,2,Lejlighed,54,1933,-3 %,Aktuel værdi
"Dagmarsgade 28, ST. 602200 København N",vn N,1.345.000,12-07-2013,Alm. Salg,20.378,2,Lejlighed,66,1974,0 %,Aktuel værdi
"Sigynsgade 60, 1. TH2200 København N",vn N,1.190.000,12-07-2013,Fam. Salg,16.527,2,Lejlighed,72,1991,,Aktuel værdi
"Gormsgade 10, 1. 662200 København N",vn N,1.985.000,11-07-2013,Alm. Salg,23.352,2,Lejlighed,85,1965,,Aktuel værdi
"Tagensvej 47, 2. 142200 København N",vn N,675.000,10-07-2013,Alm. Salg,15.697,1,Lejlighed,43,1966,-3 %,Aktuel værdi
"Rådmandsgade 46A, 2. TV2200 København N",vn N,1.898.000,09-07-2013,Alm. Salg,29.200,3,Lejlighed,65,1933,0 %,Aktuel værdi
"Haraldsgade 3, 4. TV2200 København N",vn N,2.300.000,09-07-2013,Alm. Salg,29.113,3,Lejlighed,79,1908,0 %,Aktuel værdi
"Meinungsgade 14, ST. TH2200 København N",vn N,935.000,05-07-2013,Fam. Salg,17.980,2,Lejlighed,52,1910,,Aktuel værdi
"Søllerødgade 35, 4. TV2200 København N",vn N,1.295.000,04-07-2013,Alm. Salg,23.981,1,Lejlighed,54,1903,0 %,Aktuel værdi
"Møllegade 34, 2. TV2200 København N",vn N,2.225.000,04-07-2013,Alm. Salg,28.164,3,Lejlighed,79,1901,-1 %,Aktuel værdi
"Vølundsgade 12, 3. TH2200 København N",vn N,1.490.000,02-07-2013,Alm. Salg,26.140,2,Lejlighed,57,1903,2 %,Aktuel værdi
"Heimdalsgade 14, 1. 42200 København N",vn N,2.350.000,02-07-2013,Alm. Salg,29.746,3,Lejlighed,79,1939,-6 %,Aktuel værdi
"Valhalsgade 1, 3. TH2200 København N",vn N,2.195.000,01-07-2013,Alm. Salg,27.784,3,Lejlighed,79,1909,0 %,Aktuel værdi
Ryesgade 32A2200 København N,vn N,4.500.000,01-07-2013,Alm. Salg,21.844,2,Rækkehus,206,1872,-7 %,Aktuel værdi
"Guldbergsgade 5, 3. 22200 København N",vn N,1.680.000,01-07-2013,Alm. Salg,35.000,2,Lejlighed,48,1893,-1 %,Aktuel værdi
"Heimdalsgade 42, 5. 582200 København N",vn N,735.000,30-06-2013,Alm. Salg,15.312,1,Lejlighed,48,1975,-2 %,Aktuel værdi
"Guldbergsgade 12, 4. TV2200 København N",vn N,2.750.000,29-06-2013,Alm. Salg,33.950,3,Lejlighed,81,1889,,Aktuel værdi
"Bjelkes Allé 34, 1. 272200 København N",vn N,1.199.000,27-06-2013,Alm. Salg,25.510,1,Lejlighed,47,1969,0 %,Aktuel værdi
"Kapelvej 57, ST2200 København N",vn N,1.795.000,27-06-2013,Alm. Salg,28.492,3,Lejlighed,63,1903,0 %,Aktuel værdi
"Søllerødgade 46, 4. TV2200 København N",vn N,1.115.000,26-06-2013,Alm. Salg,27.875,2,Lejlighed,40,1886,-3 %,Aktuel værdi
"Ægirsgade 21, 4. TH2200 København N",vn N,2.695.000,26-06-2013,Alm. Salg,30.977,4,Lejlighed,87,1903,0 %,Aktuel værdi
"Sigynsgade 66, 1. TV2200 København N",vn N,1.190.000,25-06-2013,Fam. Salg,16.527,2,Lejlighed,72,1991,,Aktuel værdi
"Asminderødgade 3, 4. TV2200 København N",vn N,2.315.000,24-06-2013,Alm. Salg,27.235,3,Lejlighed,85,1906,-3 %,Aktuel værdi
"Peter Fabers Gade 28, 5. TV2200 København N",vn N,1.050.000,24-06-2013,Alm. Salg,21.875,2,Lejlighed,48,1896,,Aktuel værdi
"Vedbækgade 16, 2. TV2200 København N",vn N,2.390.000,24-06-2013,Alm. Salg,32.297,3,Lejlighed,74,1898,,Aktuel værdi
"Slejpnersgade 8, 5. TV2200 København N",vn N,1.475.000,23-06-2013,Alm. Salg,26.818,2,Lejlighed,55,1938,,Aktuel værdi
"Rantzausgade 50B, 4. TV2200 København N",vn N,1.295.000,21-06-2013,Alm. Salg,30.833,2,Lejlighed,42,1889,0 %,Aktuel værdi
"Peblinge Dossering 44, 4. TV2200 København N",vn N,4.200.000,21-06-2013,Alm. Salg,37.168,4,Lejlighed,113,1862,-4 %,Aktuel værdi
"Slejpnersgade 4, 4. TH2200 København N",vn N,1.350.000,20-06-2013,Alm. Salg,24.107,2,Lejlighed,56,1938,-3 %,Aktuel værdi
"Søllerødgade 35, 3. TH2200 København N",vn N,1.495.000,18-06-2013,Alm. Salg,29.313,2,Lejlighed,51,1903,0 %,Aktuel værdi
"Fenrisgade 4, 52200 København N",vn N,1.299.000,17-06-2013,Alm. Salg,25.980,2,Lejlighed,50,1913,0 %,Aktuel værdi
"Lundtoftegade 97, ST. TV2200 København N",vn N,1.250.000,16-06-2013,Alm. Salg,21.551,2,Lejlighed,58,1930,-2 %,Aktuel værdi
